,customer_id,customername,city_id
0,1,David Padilla,903
1,2,Connor Morgan,514
2,3,Robert Stone,714
3,4,David Padilla,382
4,5,Connor Morgan,707
5,6,Robert Stone,709
6,7,John Fields,1017
7,8,Clayton Smith,1065
8,9,Richard Kelley,535
9,10,Richard Kelley,444
10,11,Jacqueline Hubbard,61
11,12,Jessica Anderson,104
12,13,Mary Taylor,604
13,14,Mary Taylor,315
14,15,Mary Taylor,658
15,16,Walter Crawford,183
16,17,Walter Crawford,889
17,18,Lawrence Robinson,998
18,19,Lawrence Robinson,559
19,20,Douglas Pennington,125
20,21,Ricardo Andrews,75
21,22,Paul Raymond,339
22,23,Paul Raymond,149
23,24,Karen Johnson,748
24,25,Karen Johnson,851
25,26,Karen Johnson,668
26,27,Juan Erickson,256
27,28,Alexander Reed,1160
28,29,Jacqueline Harris,281
29,30,Tyler Park,508
30,31,Richard Wolfe,645
31,32,Sierra Rios,755
32,33,Sierra Rios,710
33,34,Jessica Richardson,893
34,35,Kimberly Warren,228
35,36,Jessica Richardson,1193
36,37,Kimberly Warren,93
37,38,Casey Garcia,1037
38,39,Casey Garcia,1192
39,40,Denise Hampton,51
40,41,Denise Hampton,832
41,42,Denise Hampton,204
42,43,Justin Rodriguez,874
43,44,Ms. Emily Baxter,497
44,45,Austin White,339
45,46,Justin Rodriguez,728
46,47,Ms. Emily Baxter,702
47,48,Austin White,364
48,49,Morgan Montes,442
49,50,Christine Mosley,524
50,51,Ashley Rodriguez,567
51,52,Elizabeth King,602
52,53,Morgan Montes,230
53,54,Christine Mosley,1080
54,55,Ashley Rodriguez,431
55,56,Elizabeth King,730
56,57,Connie Holmes,937
57,58,Melissa Peck,306
58,59,David Smith,385
59,60,Jacqueline Harris,1158
60,61,David Smith,168
61,62,Jacqueline Harris,98
62,63,David Smith,977
63,64,Jacqueline Harris,1132
64,65,Heather Jenkins,539
65,66,Heather Jenkins,16
66,67,Heather Jenkins,801
67,68,Kelsey Castaneda,967
68,69,Katherine Harris,240
69,70,Kelsey Castaneda,410
70,71,Katherine Harris,1145
71,72,Kelsey Castaneda,75
72,73,Katherine Harris,182
73,74,Kelsey Castaneda,1149
74,75,Katherine Harris,1099
75,76,Paul Rogers,785
76,77,Paul Rogers,1130
77,78,Jon Banks,1173
78,79,Michelle Williams,430
79,80,Andrew Allen,773
80,81,Andrew Allen,988
81,82,Andrew Allen,353
82,83,Andrew Allen,1099
83,84,Vanessa Bauer,369
84,85,Sean Smith,890
85,86,Vanessa Bauer,762
86,87,Sean Smith,839
87,88,Shelly Sweeney,331
88,89,Shelly Sweeney,297
89,90,Emily Gill,439
90,91,Brian Patrick,1163
91,92,Dr. Sarah Booth,841
92,93,Douglas Mcfarland,1129
93,94,Kayla Ross,992
94,95,Marc Strickland,504
95,96,Marc Strickland,1083
96,97,Charlene Brown,828
97,98,Charles Smith,1090
98,99,Karen Townsend,792
99,100,Karen Townsend,219
100,101,Karen Townsend,131
101,102,Steven Cox,608
102,103,Cynthia Rodriguez,182
103,104,Jessica Baker,964
104,105,Mark Blackburn,785
105,106,Zachary Perez,851
106,107,Brian Green,323
107,108,Zachary Perez,175
108,109,Brian Green,256
109,110,Zachary Perez,926
110,111,Brian Green,985
111,112,Becky Leach,1071
112,113,Bryan Russell,658
113,114,Tony Maddox,314
114,115,Bryan Russell,27
115,116,Tony Maddox,266
116,117,Jason Randolph,684
117,118,Laura Andrews,615
118,119,Mrs. Stephanie Hooper,477
119,120,Anthony Evans,14
120,121,Patrick Williams,1020
121,122,Susan Burke,482
122,123,Brent Hernandez,988
123,124,Patrick Williams,91
124,125,Susan Burke,372
125,126,Brent Hernandez,682
126,127,Sean Elliott,998
127,128,Wanda West,645
128,129,Sean Elliott,669
129,130,Wanda West,1058
130,131,Renee Solomon,476
131,132,Renee Solomon,134
132,133,Renee Solomon,1187
133,134,Renee Solomon,167
134,135,Daryl Miles,213
135,136,Daryl Miles,1033
136,137,Michael Hunt,828
137,138,Michael Hunt,570
138,139,Michael Hunt,148
139,140,Adam Clark,1177
140,141,Amy Olsen,1194
141,142,Stacey Miller,717
142,143,Adam Clark,867
143,144,Amy Olsen,1187
144,145,Stacey Miller,575
145,146,Daniel Mosley,168
146,147,Daniel Mosley,83
147,148,Daniel Mosley,747
148,149,Daniel Mosley,524
149,150,Monica Gibson,1033
150,151,Monica Gibson,96
151,152,Monica Gibson,453
152,153,Christopher Jordan,988
153,154,Christina Davis,335
154,155,Claudia Curry,362
155,156,Christina Davis,31
156,157,Claudia Curry,766
157,158,Christina Davis,632
158,159,Claudia Curry,424
159,160,Christina Davis,331
160,161,Claudia Curry,154
161,162,Brandon Anderson,627
162,163,George Foster,1023
163,164,Nicholas Anderson,946
164,165,Emily Ellison,82
165,166,George Foster,1067
166,167,Nicholas Anderson,903
167,168,Emily Ellison,856
168,169,George Foster,670
169,170,Nicholas Anderson,933
170,171,Emily Ellison,912
171,172,Darren Perez,127
172,173,Michelle Hunter,676
173,174,Janet Guerrero,215
174,175,Jeffrey Kline,733
175,176,Ryan Bullock,428
176,177,Jeffrey Kline,688
177,178,Ryan Bullock,1002
178,179,Tom Lawson,485
179,180,Rebecca Smith,890
180,181,Rebecca Smith,749
181,182,William Welch,826
182,183,William Welch,112
183,184,Mr. Curtis Bailey,440
184,185,Mr. Curtis Bailey,1082
185,186,Janet Carlson,418
186,187,Janet Carlson,537
187,188,Spencer Spears,896
188,189,Spencer Spears,383
189,190,Jeffrey Middleton,513
190,191,Veronica Kelley,1170
191,192,Leslie Bean,1107
192,193,Jeffrey Middleton,823
193,194,Veronica Kelley,590
194,195,Leslie Bean,827
195,196,Amy Wilson,1182
196,197,Amy Wilson,878
197,198,Susan Ramirez,980
198,199,Jacob Meyer,173
199,200,Jacob Meyer,581
200,201,Scott Lewis,188
201,202,Eric Griffith,1148
202,203,Anna Ferguson,1119
203,204,Scott Lewis,381
